Sector,Outcome,Output,Area,Partner,Category,Value
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,TdH   It,Refugee,441600
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,UNHCR,Refugee,15527599.13
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,ACF,Refugee,118000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,IOM,Stabilization,1000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,PU AMI,Stabilization,1134
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,Solidar Suisse,Stabilization,1500
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,TdH   It,Stabilization,2400
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,UNHCR,Stabilization,5957.237
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,ACF,Stabilization,12000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,TdH   It,Refugee,147200
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,OXFAM,Refugee,377750
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,UNHCR,Refugee,32916770.08
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,TdH   It,Stabilization,800
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,OXFAM,Stabilization,9750
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,UNHCR,Stabilization,12628.675
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,HI,Refugee,687500
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,Save the Children,Refugee,2023350
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Akkar,PCPM,Refugee,2235000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,CLMC Lebanon,Refugee,504000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Beirut,CARE,Refugee,5500000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,CLMC Lebanon,Refugee,868800
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,RI,Refugee,976000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,HI,Refugee,1375000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,PCPM,Refugee,3320000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,Save the Children,Refugee,3497550
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Bekaa,WVI,Refugee,14042825
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,CLMC Lebanon,Refugee,76800
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,PCPM,Refugee,1730000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,South,WVI,Refugee,3904415
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,CLMC Lebanon,Refugee,230400
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,HI,Refugee,687500
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,RI,Refugee,976000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,PCPM,Refugee,1760000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Tripoli,SI,Refugee,6500000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Countrywide,UNHCR,Stabilization,1500000
"Basic Assistance (BA): Pop Target = 889,500",BA - 1. Access to essential goods/services.,BA - 1.1 Vuln HH access to basic needs & services,Countrywide,MoSA,Stabilization,19462500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,Save the Children,Refugee,1093500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,IOM,Refugee,1010610
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,UNHCR,Refugee,1555200
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,PCPM,Refugee,4076100
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,Save the Children,Stabilization,121500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,IOM,Stabilization,112290
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,UNHCR,Stabilization,172800
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Akkar,PCPM,Stabilization,452900
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,Makhzoumi,Refugee,273600
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,IOM,Refugee,94140
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,CLMC Lebanon,Refugee,502200
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,CARE,Refugee,900000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,SIF,Refugee,947025
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,ACTED,Refugee,1546257.6
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,UNHCR,Refugee,2277000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,Makhzoumi,Stabilization,30400
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,IOM,Stabilization,10460
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,CLMC Lebanon,Stabilization,55800
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,CARE,Stabilization,100000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,SIF,Stabilization,105225
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,ACTED,Stabilization,171806.4
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,UNHCR,Stabilization,253000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,ACF,Refugee,135000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,WVI,Refugee,173445.3
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,CLMC Lebanon,Refugee,813240
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,IOM,Refugee,295380
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,OXFAM,Refugee,387000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,UNRWA,Refugee,1136672.1
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,Medair Lebanon,Refugee,1351350
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,Save the Children,Refugee,1640250
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,UNHCR,Refugee,6719400
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,ACF,Stabilization,15000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,WVI,Stabilization,19271.7
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,CLMC Lebanon,Stabilization,90360
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,IOM,Stabilization,32820
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,OXFAM,Stabilization,43000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,UNRWA,Stabilization,126296.9
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,Medair Lebanon,Stabilization,150150
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,Save the Children,Stabilization,182250
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,UNHCR,Stabilization,746600
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Countrywide,UNRWA,Refugee,2182460.4
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Countrywide,UNRWA,Stabilization,242495.6
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,CLMC Lebanon,Refugee,84240
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,ACF,Refugee,135000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,Solidar Suisse,Refugee,626940
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,WVI,Refugee,577033.2
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,IOM,Refugee,625410
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,UNHCR,Refugee,1459350
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,CLMC Lebanon,Stabilization,9360
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,ACF,Stabilization,15000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,Solidar Suisse,Stabilization,69660
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,WVI,Stabilization,64114.8
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,IOM,Stabilization,69490
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,UNHCR,Stabilization,162150
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,CLMC Lebanon,Refugee,220320
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,OXFAM,Refugee,976500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,UNHCR,Refugee,1990800
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,CLMC Lebanon,Stabilization,24480
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,OXFAM,Stabilization,108500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,UNHCR,Stabilization,221200
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,ANERA,Refugee,27000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,TdH   It,Refugee,178020
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,IOCC,Refugee,177750
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,ANERA,Stabilization,3000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,TdH   It,Stabilization,19780
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,IOCC,Stabilization,19750
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,IOCC,Refugee,194850
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,IOCC,Stabilization,21650
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Countrywide,UNICEF,Refugee,6570000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Countrywide,UNICEF,Stabilization,730000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,AVSI,Refugee,12600
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,IOCC,Refugee,194850
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,AVSI,Stabilization,1400
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,South,IOCC,Stabilization,21650
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,IOCC,Refugee,194850
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Tripoli,IOCC,Stabilization,21650
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,AVSI,Refugee,72000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Beirut,AVSI,Stabilization,8000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,ActionAid,Refugee,31500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,BA - 2.1 HH at risk of seasonal hazards survive,Bekaa,ActionAid,Stabilization,3500
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Akkar,Save the Children,Refugee,970000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Beirut,Makhzoumi,Refugee,102275
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Beirut,CLMC Lebanon,Refugee,300000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Bekaa,CLMC Lebanon,Refugee,420000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Bekaa,Save the Children,Refugee,1455000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",South,CLMC Lebanon,Refugee,60000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Tripoli,CLMC Lebanon,Refugee,120000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Akkar,UNHCR,Refugee,90000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Akkar,ACTED,Refugee,143000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Akkar,DRC,Refugee,810000
"Basic Assistance (BA): Pop Target = 889,500",BA - 2. Aff pop maintain access to goods and services,"BA - 2.2  Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",Beirut,AVSI,Refugee,47000
