DumpTotal,Sector,Outcome,,Output,Activity,Area,Partner,Value
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,ACF,108000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,IOM,9000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,PU-AMI,10206
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,Solidar Suisse,13500
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,TdH - It,21600
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,South,UNHCR,53615.133
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Tripoli,OXFAM,87750
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Tripoli,TdH - It,7200
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,1. HH level soc-eco  vulnerability profiling,Tripoli,UNHCR,113658.075
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,HI,687500
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,IOM,842000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,IRC,5185619
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,PCPM,2235000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,PU-AMI,176400
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,Save the Children,2023350
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Akkar,TdH - It,140000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,ACTED,4864841
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,CARE,5500000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,CLMC Lebanon,504000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,IOM,421000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,PU-AMI,132300
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Beirut,UNHCR,35130178
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,ACF,10000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,ActionAid,115000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,CLMC Lebanon,868800
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,HI,1375000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,IOM,842000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,PCPM,3320000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,RI,976000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,Save the Children,3497550
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,UNHCR,46468232
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Bekaa,WVI,14042825
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,ACF,10000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,CLMC Lebanon,76800
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,IOM,842000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,PCPM,1730000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,PU-AMI,132300
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,Solidar Suisse,577500
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,TdH - It,420000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,UNHCR,15473984
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,South,WVI,3904415
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,CLMC Lebanon,230400
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,HI,687500
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,OXFAM,290000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,PCPM,1760000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,RI,976000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,SI,6500000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,TdH - It,140000
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,2. Scaleup&provide multi-sector/sector cash transf,Tripoli,UNHCR,32803112
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,3. scale-up NPTP target households,Countrywide,MoSA,0
SUM of Selected,Basic Assistance (BA),BA - 1. Access to essential goods/services.,,BA - 1.1 Vuln HH access to basic needs & services,3. scale-up NPTP target households,Countrywide,UNHCR,0
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Akkar,IOM,954450
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Akkar,PCPM,3735000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Akkar,Save the Children,945000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Akkar,UNHCR,1330200
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,ACTED,1459452.6
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,CARE,900000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,CLMC Lebanon,162000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,CLMC Lebanon,340200
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,IOM,90900
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,Makhzoumi,75600
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,SIF,947025
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Beirut,UNHCR,2007000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,ACF,135000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,CLMC Lebanon,226800
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,CLMC Lebanon,586440
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,IOM,272700
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,Medair Lebanon,1351350
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,OXFAM,387000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,Save the Children,1417500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,UNHCR,6155100
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,UNRWA,1136672.1
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Bekaa,WVI,173445.3
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Countrywide,UNRWA,2182460.4
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,ACF,135000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,CLMC Lebanon,32400
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,CLMC Lebanon,51840
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,IOM,590850
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,Solidar Suisse,522000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,UNHCR,1279350
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,South,WVI,577033.2
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Tripoli,CLMC Lebanon,64800
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Tripoli,CLMC Lebanon,155520
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Tripoli,OXFAM,405000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Tripoli,OXFAM,450000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,1. Provide cash grants for seas hazards-aff HH,Tripoli,UNHCR,1765800
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Akkar,IOM,56160
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Akkar,PCPM,327600
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Akkar,Save the Children,67500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Akkar,UNHCR,225000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,ACTED,86805
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,ANERA,27000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,IOCC,157950
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,IOM,3240
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,Makhzoumi,105840
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,TdH - It,124020
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Beirut,UNHCR,270000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Bekaa,IOCC,171450
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Bekaa,IOM,22680
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Bekaa,Save the Children,101250
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Bekaa,UNHCR,564300
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Countrywide,UNICEF,2070000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,South,AVSI,12600
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,South,IOCC,171450
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,South,IOM,34560
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,South,Solidar Suisse,9000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,South,UNHCR,180000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Tripoli,IOCC,171450
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,2. Distribute in-kind ass for seas hazards-aff HH,Tripoli,UNHCR,225000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Akkar,Save the Children,81000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Beirut,AVSI,72000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Beirut,IOCC,19800
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Beirut,Makhzoumi,92160
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Beirut,SIF,0
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Beirut,TdH - It,54000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Bekaa,ActionAid,31500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Bekaa,IOCC,23400
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Bekaa,Save the Children,121500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Countrywide,UNICEF,4500000
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,South,IOCC,23400
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,South,Solidar Suisse,86400
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Tripoli,IOCC,23400
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,3. Distribute vouchers for seas hazards-aff HH,Tripoli,OXFAM,121500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,4. Assessments/impact evaluation of seasonal needs,Akkar,PCPM,13500
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,BA - 2.1 HH at risk of seasonal hazards survive,4. Assessments/impact evaluation of seasonal needs,South,Solidar Suisse,9540
SUM of Selected,Basic Assistance (BA),BA - 2. Aff pop maintain access to goods and services,,"BA - 2.2 Newcomer population and households with auxiliary needs identified in the field  have access to basic items, shortly after identified",1. Provide cash grants for newcomer refugee HH,Akkar,Save the Children,250000
